species,0,AF,Ama,And,Cat,Cer,Cha,Mes,Pam
albicans,8,279,347,31,133,375,7,24,0
alborufescens,0,10,47,0,40,40,0,0,0
amnicola,0,0,13,1,0,0,0,0,0
angelana,0,1,0,0,0,10,0,0,0
argyrophylla,0,4,97,16,0,1,0,3,0
atlantica,0,20,0,0,0,0,0,0,0
baumgratziana,0,12,0,0,0,1,0,0,0
brunnea,0,17,0,0,0,3,0,0,0
budlejoides,0,97,0,0,2,3,0,0,0
burchellii,0,1,5,0,0,63,0,0,0
capixaba,0,15,0,0,0,0,0,0,0
castaneiflora,0,14,0,0,0,0,0,0,0
chrysophylla,0,3,55,0,0,7,0,0,0
cinerascens,1,270,0,0,0,15,4,0,7
cipoensis,0,0,0,0,0,8,0,0,0
corallina,0,24,0,0,1,7,0,0,0
cowanii,0,0,45,0,0,1,0,0,0
cubatanensis,3,75,0,0,12,36,0,0,0
cyathanthera,0,15,0,0,1,15,0,0,0
dichrophylla,0,0,32,2,0,0,0,0,0
discolor,0,90,0,0,0,11,0,0,0
dispar,0,0,95,0,0,7,0,0,0
dura,0,10,0,0,0,0,0,0,0
fallax,0,23,55,4,7,122,0,0,0
fasciculata,0,103,0,0,0,0,0,0,0
ferruginata,0,22,9,0,24,118,0,0,0
flammea,0,95,5,0,11,44,0,0,0
formosa,0,81,0,0,0,1,0,0,0
heliotropoides,0,0,24,0,0,38,0,0,0
hyemalis,0,95,0,0,0,16,0,0,17
hypoleuca,3,88,37,0,19,0,0,5,0
kollmannii,0,5,0,0,0,0,0,0,0
kriegeriana,0,13,0,0,0,0,0,0,0
lepidota,0,45,89,3,7,11,0,1,0
longispicata,0,0,60,0,0,1,0,0,0
lourteigiana,0,0,18,6,0,0,0,0,0
lymanii,0,41,0,0,0,0,0,0,0
macrothyrsa,0,12,40,1,1,110,0,1,0
macuxi,0,0,18,0,0,0,0,0,0
mayarae,0,0,34,0,0,1,0,0,0
mellina,0,5,0,0,0,1,0,0,0
multispicata,0,0,16,13,0,0,0,6,0
navioensis,0,1,28,0,0,0,0,0,0
octopetala,0,20,0,0,0,0,0,0,0
penduliflora,0,11,0,0,0,0,0,0,0
pepericarpa,0,26,1,0,15,75,0,0,0
petroniana,0,12,0,0,0,0,0,0,0
polyandra,0,33,0,0,0,0,0,0,0
pterocaulon,0,0,12,8,0,0,0,2,0
punctata,0,0,103,20,0,5,0,8,0
racemifera,0,38,0,0,0,0,0,0,0
robusta,0,8,0,0,0,0,0,0,0
rondoniensis,0,0,10,0,0,1,0,0,0
rufescens,0,0,85,6,0,5,0,3,0
ruficalyx,0,8,51,2,0,0,0,1,0
ruschiana,0,9,0,0,0,0,0,0,0
sclerophylla,0,12,0,0,11,26,0,0,0
secundiflora,0,0,12,0,0,0,0,0,0
serialis,0,9,34,0,15,0,0,1,0
setosociliata,0,13,0,0,0,0,0,0,0
shepherdii,0,16,0,0,0,1,0,0,0
stenostachya,0,83,135,16,19,219,1,9,0
suberosa,0,0,4,0,0,0,0,0,0
tiliifolia,0,0,22,4,0,1,1,0,0
valtheri,0,60,0,0,0,4,0,0,0
willdenowii,0,14,0,0,0,0,0,0,0
