state,species,pc1_score
AFother,albicans,-5.93274038746231
other,alborufescens,-5.13002250804693
other,amnicola,-7.75392128708064
other,argyrophylla,-6.23493973324714
AF,budlejoides,-4.86663760243088
other,burchellii,-5.68574471587285
AF,capixaba,-3.45821988031297
AF,castaneiflora,-3.27159105029426
other,chrysophylla,-3.94536238913048
AF,cinerascens,-5.54833003506808
other,cipoensis,-5.51318839960082
AFother,corallina,-4.08630521451262
other,cowanii,-5.86437409263936
AFother,cubatanensis,-6.01338995173487
AFother,cyathanthera,-4.48877699181387
other,dichrophylla,-4.65137302058491
AFother,discolor,-5.77541184621274
other,dispar,-7.35139491848166
AFother,fallax,-10.1837408651233
AF,fasciculata,-5.5243574860297
AFother,ferruginata,-7.5066332493195
AFother,flammea,-4.97872064174867
AF,formosa,-6.47071391463551
other,heliotropoides,-8.12789014980413
AFother,hyemalis,-4.48043674644397
AFother,hypoleuca,-4.85623520720859
AFother,lepidota,-6.97139258375014
other,longispicata,-7.43234066509095
other,lourteigiana,-6.12105282415267
AF,lymanii,-4.47033423438035
other,macrothyrsa,-8.71137144924494
other,macuxi,-8.09195756375935
other,mayarae,-5.84403664566471
other,multispicata,-8.3519272860367
other,navioensis,-3.33208506506729
AFother,pepericarpa,-3.06479131827315
AF,petroniana,-4.76703842138552
AF,polyandra,-8.65536884008279
other,pterocaulon,-7.01738215704241
other,punctata,-3.78409551731943
AF,racemifera,-5.76328940902734
other,rufescens,-9.11867008192626
AFother,ruficalyx,-8.06818571240242
AFother,sclerophylla,-4.10413796044227
other,secundiflora,-8.58791030574287
AFother,serialis,-7.24032387469196
AF,shepherdii,-4.67972559477815
AFother,stenostachya,-8.77324806959244
other,tiliifolia,-10.2493416595859
AF,valtheri,-8.03242914995074
AF,willdenowii,-4.84240432479095
