state,species,x
other,albicans,0.994900387706759
other,alborufescens,1.16039589584207
other,amnicola,-0.0699309384368835
other,argyrophylla,-0.766866102831123
AF,budlejoides,2.15153450496081
other,burchellii,0.882751426984076
AF,capixaba,0.0923101124330064
AF,castaneiflora,1.45773047871047
other,chrysophylla,0.609852434397271
AF,cinerascens,0.653128735158395
other,cipoensis,-0.631442950751151
other,corallina,1.63479800995327
other,cowanii,0.23158411974346
other,cubatanensis,-0.553513185802224
other,cyathanthera,-1.02520171220476
other,dichrophylla,0.412842552767175
other,discolor,2.02195756699553
other,dispar,0.0515695724763857
other,fallax,-1.09589526722719
AF,fasciculata,-0.000189424997179742
other,ferruginata,0.914934071191796
other,flammea,1.68009741675236
AF,formosa,0.711342649308027
other,heliotropoides,-0.4298967774116
other,hyemalis,0.635006219909651
other,hypoleuca,-0.333005601575241
other,lepidota,-0.00850032988823329
other,longispicata,0.535734211892863
other,lourteigiana,0.317434793708095
AF,lymanii,0.584495404226983
other,macrothyrsa,-0.171566842877836
other,macuxi,-1.16758618293935
other,mayarae,-0.209993239933529
other,multispicata,-0.908705291988754
other,navioensis,0.819668666073099
other,pepericarpa,0.782249620395279
AF,petroniana,1.05870779119251
AF,polyandra,-0.391192810673997
other,pterocaulon,0.0198985543632386
other,punctata,1.39032127727707
AF,racemifera,0.181238015639893
other,rufescens,-0.862062598032698
other,ruficalyx,-0.938073637651518
other,sclerophylla,1.62107984707403
other,secundiflora,-0.279215453907244
other,serialis,-0.362071998157847
AF,shepherdii,2.11040063119571
other,stenostachya,0.0154593718433103
other,tiliifolia,-1.41293151105708
AF,valtheri,0.187961296589236
AF,willdenowii,0.778408847492713
