species,temperature_range,precipitation_seasonality,solar_radiation,soil_pH
albicans,0.35860073294226,0.570719992484941,-0.286945681740088,-0.140648936274599
alborufescens,0.166536196231241,0.949716050811938,-0.0473594809619907,0.0934436683075969
amnicola,-0.780608288059767,-1.66584622700341,-1.67892567889957,-0.943861541174216
angelana,0.123821432526552,0.534451257649382,-0.582599602834376,-0.296959571368279
argyrophylla,-1.28963683411886,-0.876132500673664,-0.818438788187837,-1.24171431735815
atlantica,-0.733106183732932,-0.289879176422939,-0.676136492733202,0.333937442976794
baumgratziana,-0.699069138780631,-0.0874255862492246,-0.988570749159282,-0.315881492709091
brunnea,0.0479734122898566,0.293420054309002,-0.790609260313232,-0.286087055884059
budlejoides,-0.268861690044453,0.0888862945960394,-0.97686447917131,-0.304158361548094
burchellii,-0.341564194139262,0.700048425095636,0.214702710592404,-0.00461997064205374
capixaba,-0.717363005459434,-0.338097121110799,-0.669966016528451,0.134851569686556
castaneiflora,0.362384631842938,0.400222308668216,-0.994185667711843,-0.355608205130188
chrysophylla,-0.661025762867928,0.37980955553052,-0.134111886342327,-0.673317338900983
cinerascens,-0.444196951734887,-1.32621505052926,-1.29248865004153,-0.438996623393863
cipoensis,0.270551854773755,0.99704670995601,-0.170634985064865,-0.0891572969272776
corallina,0.0640929257024341,0.804747573966156,-0.845204981471129,-0.296349763089612
cowanii,-1.27665306866199,-0.850085256087714,-0.755678490269937,-1.33324801437085
cubatanensis,-1.61621181472674,-0.762750660490341,-1.44612181991397,-0.459143076652796
cyathanthera,0.382788769769548,0.642157272764497,-0.737263637897636,-0.361615844742675
dichrophylla,-1.21399685647631,-0.83080477145361,-0.773125226531327,-1.30604056369133
discolor,0.0176217460659898,0.241101371607421,-0.639774453747416,-0.145550748802432
dispar,1.25042740436162,0.466703401730395,-0.830062976619479,-0.777836350743492
dura,-0.100009233809922,0.645671519426863,-0.969961800615678,-0.293354694030656
fallax,-0.143468930724131,0.650075991675928,0.116276043347746,-0.108419535993511
fasciculata,-1.48307214389897,-0.73917238222433,-1.5478157690388,-0.493887607003221
ferruginata,-0.0437933440033809,0.61670239639647,0.0952886327790372,-0.0837868564293803
flammea,0.126633693657996,0.587898765610477,-0.67767974190221,-0.252567511436307
formosa,-1.27889893668398,-0.732486143751544,-1.55442328774483,-0.454644715839854
heliotropoides,-0.401002631717919,0.799770132278106,0.285710808591293,0.0484463806877144
hyemalis,-0.111410125881141,-1.24381708531523,-1.2566624606366,-0.401692820530214
hypoleuca,-2.20473830902645,-1.66050611355537,0.356987546781539,0.101639888332047
kollmannii,-0.671424382582685,-0.337038859721467,-0.707630524636324,0.299431847557796
kriegeriana,-0.283198277378907,0.419258956510334,-0.972471041383964,-0.475942670003809
lepidota,0.381943143721189,0.367581940058572,-0.753561079521063,-0.409207715881566
longispicata,-1.33344638618015,-0.820792991554965,-0.927881487144546,-1.42999019719688
lourteigiana,-0.0561748399748246,0.00187317136840992,-1.36495727598819,-1.25466474897776
lymanii,-0.864605253089848,-1.15163766384008,-1.52353134594526,-0.422153859728971
macrothyrsa,-0.528426354140029,0.677525821735327,0.168871234625758,0.0244532988185731
macuxi,-0.747874749898735,0.172478050067586,-0.143980180334063,-0.632061598041889
mayarae,-1.0962753831,-0.492904993266851,0.683983462067224,-0.904814561901954
mellina,-0.0367860411412408,0.743046747552659,-0.965699321807737,0.0273429789649967
multispicata,-0.721374273347953,-0.00800305774050164,0.0883993894145242,-0.330041051827278
navioensis,-1.15290268869215,-0.249560077224464,-0.180945045520218,-1.04862615840507
octopetala,-2.35884340441377,-1.61791361651387,0.381812418410172,0.01666856048774
penduliflora,-0.535409355718176,-0.104014807492821,-1.16188938730092,-0.0819676566056084
pepericarpa,0.347932552173439,0.742402044415508,-0.61363719905377,-0.253640834670874
petroniana,0.0386767354559809,-0.0443026834511934,-0.704742946708208,-0.481926221799072
polyandra,-0.587458478150563,-0.311284426472865,-0.701618576495207,0.223883983120632
pterocaulon,-0.816388338789705,-1.34658604245974,-1.46722381713749,-0.748675719981784
punctata,-1.24946989677584,-0.739841199772313,-0.839820487445924,-1.3666144676387
racemifera,-0.761958757344882,-0.410850177038951,-1.30548499484988,-0.17205079628792
robusta,-0.277949190635717,0.494713778245987,-1.07513403837004,-0.435770887060563
rondoniensis,-0.466655669532599,-0.10841309233645,-1.27321865534456,-1.41561841131501
rufescens,-0.925872712257015,0.540340956135103,0.149945781850183,-0.414920968015246
ruficalyx,-0.31580951495234,-0.131847787707306,-1.10141213398985,-0.693253001314027
ruschiana,-0.191719639187443,0.0388770941362364,-0.570360740288354,0.613074340740338
sclerophylla,0.0935991623367787,0.876910409736128,-0.468169856900598,-0.0491723994506535
secundiflora,-1.21279995896644,0.329179300638709,-0.622314869112527,-0.558194380806262
serialis,-1.30952602326757,0.029025779640784,1.34337662071745,0.709547379175476
setosociliata,-0.274371042549837,0.0959148334789754,-0.841420750947206,-0.442304179302194
shepherdii,0.35204181202696,0.363657762608888,-0.918864044652823,-0.426228682798734
stenostachya,0.340028259199687,0.610349651594963,-0.382570838383961,-0.171149581413195
suberosa,-1.21222027472395,-0.891907710329377,-1.02181280988413,-1.39650451676934
tiliifolia,-0.59352205310143,-0.0633870230313213,-1.32223552160794,-1.39233001395019
valtheri,-1.08483847731938,-1.1479284202456,-1.52764074133152,-0.451261913352175
willdenowii,-0.0980950562559971,0.619634888245327,-0.889943992159023,-0.275870574501934
