species,temp_diurnal_range,precip_seasonality,solar_radiation,soil_pH
albicans,32.031689988588,18.0560122913885,1656.35354263305,4.56865341424617
alborufescens,15.2829861084907,21.8057450099561,1409.80669011793,7.24923655915906
amnicola,6.21672018517938,17.2091500205791,815.069848497671,7.24356127058776
angelana,0.323299707777366,0.762192371566414,44.3577456319999,0.406842855243156
argyrophylla,16.9361135438881,21.2534437150822,2147.97479731116,9.33180293028104
atlantica,16.1409616605158,15.0147682045304,646.303991983899,5.52731591920161
baumgratziana,15.2784662220493,19.841946405013,1296.8783720405,3.16659441705887
brunnea,22.788486484373,25.0701866368657,1299.05659666839,3.30666645448602
budlejoides,20.6329043118238,28.3060162185035,1338.5460136218,3.68590025329156
burchellii,28.3220317306973,8.69004775877947,666.55838525865,3.89871034845947
capixaba,5.43791582258254,4.14541840011009,188.850746557393,4.54610367819676
castaneiflora,23.9726409933661,20.3506941119975,701.734532342514,3.44580212866538
chrysophylla,28.8850220703072,21.8640215210315,2392.02574218926,6.73374331985425
cinerascens,28.3050267157873,26.5421726021758,1056.88033953857,2.48020498658674
cipoensis,4.88915449566555,4.49227557330924,1068.92532695924,1.00089284045236
corallina,13.0939034486076,17.3910421126259,1007.34027705432,5.85013046292109
cowanii,22.5105088633604,21.7808990806316,1119.40592891461,4.95938693357511
cubatanensis,29.8878573056378,44.1976208674345,2332.04161327449,4.01033401587363
cyathanthera,11.1120604436347,9.03226737803847,906.098175778967,3.74761631081506
dichrophylla,21.4578306883561,17.5727007378924,764.074160508044,5.00285597614241
discolor,15.263979445764,40.0165062622254,1363.35222032704,3.03246301134084
dispar,40.0699638053953,28.2273723114124,807.673115733674,6.63118547715515
dura,2.44472551418579,0.228148177229471,130.105801414795,0.485259995125077
fallax,18.0748629630347,13.1829550056381,1246.65237642087,4.58533692329577
fasciculata,20.6693834714659,19.889486175227,1206.85404503717,3.1235076354946
ferruginata,15.5404708278945,14.5730043008024,1367.17323405511,5.08722258370951
flammea,26.1424774989235,27.3766808589086,994.277525902979,4.19943046436109
formosa,23.8520606077496,23.1905840502451,1079.28852420387,2.80276415953764
heliotropoides,16.3777199504665,12.7727974063242,1510.47857070645,6.42704935574489
hyemalis,20.2111082863015,27.9938851576158,702.349369067677,2.65331556780263
hypoleuca,16.6416309647858,30.6747522684375,2268.30032800158,6.36715315646223
kollmannii,1.96914928974888,1.92208043873575,38.3137176695309,0.706395756984023
kriegeriana,2.14496946222425,14.8323344910593,1185.47300324478,1.97476449727924
lepidota,25.7418464982328,17.0182785766492,882.465182401418,5.77268807711079
longispicata,23.048257422386,34.6056393346452,1787.85990137289,5.95137776944416
lourteigiana,14.7369122362731,20.2542810904855,616.556804877242,8.64782204261999
lymanii,22.207897660392,35.7891478091525,869.960867826319,1.25785672595148
macrothyrsa,17.0299379877827,13.3748763711424,1064.94739002486,3.46507211369051
macuxi,12.3723235872642,18.0027151813708,1201.36775220325,6.8638585570426
mayarae,11.5819964943915,21.1680594525987,3000.99157898168,5.27888471103423
mellina,10.0381824636735,12.1552579527058,406.605023436936,2.36675410778764
multispicata,11.7898959916995,15.9130746810231,2010.94675647844,4.75822068438655
navioensis,9.95026389456579,15.8232641044651,1332.5607482303,4.76060809432665
octopetala,34.3578053243093,34.4319625043499,1737.30224679099,3.43196985877434
penduliflora,4.57252136966726,1.68796231372728,280.080796030015,3.15194923527142
pepericarpa,13.1692276547615,13.0395233303209,1139.47570806089,3.0825205248166
petroniana,18.7679365995759,12.0324866967145,985.455290058313,4.72047863076621
polyandra,14.8279813588514,16.3911885943163,649.569810117067,4.64707493267478
pterocaulon,10.8612216483804,19.1542915355209,1685.23753477288,3.77640998740049
punctata,19.0809377401615,28.7527078930006,1543.77861827019,6.76097514823346
racemifera,16.6331031756256,18.1369064375851,840.072047295316,1.87974494632231
robusta,12.9449939683528,11.0592333245958,353.849792492849,3.25123024295444
rondoniensis,15.7852801025965,14.4561130834814,729.595848232319,5.22794409903746
rufescens,19.1092011629988,15.6296360549317,1866.44782684274,6.05379216002903
ruficalyx,26.6985484179576,23.1135934343383,2293.91332538153,5.88610503917937
ruschiana,9.30748635463246,9.50496686008816,253.849397902008,6.71961109860511
sclerophylla,11.3065158863683,15.6825198023354,924.909894088141,5.4432175255366
secundiflora,6.26011125543373,12.9791524764389,639.021093478617,7.41292203286545
serialis,17.896929014925,12.9884756720186,1905.29147146611,10.5569148023108
setosociliata,16.5568239869265,16.9773164685403,875.83405540865,5.76232580787104
shepherdii,8.46002174954772,9.27564394116915,370.640248747719,1.43911764022848
stenostachya,17.5216187044095,16.3759951395673,1155.23824748768,3.77418377654499
suberosa,0.803057862067178,0.983234701336897,46.4796468915702,1.25217914849681
tiliifolia,29.0633556970642,14.7132083301931,1371.65673453845,12.7130670967026
valtheri,21.5677098513011,40.3859287401255,1073.82985851321,2.26229194682498
willdenowii,13.4405387291818,26.6013658608649,1026.4493198668,3.00860436211682
