species,state,hvolume
albicans,AFother,8.7771438438298
alborufescens,other,7.83252183779955
amnicola,other,1.50039093164742
angelana,other,2.08562844919427e-05
argyrophylla,other,9.19695877994159
atlantica,AF,2.78612493820501
baumgratziana,AF,2.47245966788189
brunnea,AFother,7.99907383721823
budlejoides,AF,3.83994120993199
burchellii,other,1.45212215584513
capixaba,AF,0.0141462678821517
castaneiflora,AF,2.41902519718994
chrysophylla,other,14.0634655950978
cinerascens,AF,4.70361663938797
cipoensis,other,0.0660112013656219
corallina,AFother,1.95646993538292
cowanii,other,4.63792070626194
cubatanensis,AFother,5.16406442000746
cyathanthera,AFother,0.923284824514989
dichrophylla,other,3.66059132396524
discolor,AFother,2.88421189572369
dispar,other,4.34859119832293
dura,AF,0.000153733967708257
fallax,AFother,3.04139793259192
fasciculata,AF,3.56290842375161
ferruginata,AFother,6.13462547545858
flammea,AFother,5.24389799552672
formosa,AF,3.10476774803502
heliotropoides,other,1.54233882461929
hyemalis,AFother,2.04442528434536
hypoleuca,AFother,7.35850203225795
kollmannii,AF,0.000493245925405942
kriegeriana,AF,0.194143938508626
lepidota,AFother,3.09617980737066
longispicata,other,12.2672645439842
lourteigiana,other,2.96010035497949
lymanii,AF,0.70066423344295
macrothyrsa,other,1.60199059387288
macuxi,other,1.65050300933346
mayarae,other,4.6175313270466
mellina,AFother,0.212757313744456
multispicata,other,4.36622648172171
navioensis,other,2.25420897600451
octopetala,AF,3.80139127182737
penduliflora,AF,0.0117425974927636
pepericarpa,AFother,1.83915632306728
petroniana,AF,2.89538017245178
polyandra,AF,2.07077305906048
pterocaulon,other,2.02132740989679
punctata,other,12.1521222561046
racemifera,AF,0.701741434403334
robusta,AF,0.442587664412226
rondoniensis,other,1.35926421756017
rufescens,other,3.71014500985202
ruficalyx,AFother,12.0720670173846
ruschiana,AF,0.353657516940368
sclerophylla,AFother,1.71484137921322
secundiflora,other,0.978234792832529
serialis,AFother,9.50196430716899
setosociliata,AF,3.59055733089922
shepherdii,AF,0.189737873092431
stenostachya,AFother,3.73405664771516
suberosa,other,0.000159495622779409
tiliifolia,other,15.6184444847644
valtheri,AF,1.88951535222882
willdenowii,AF,2.60679442521383
