state,age,central,dispersion
AF,-7.659438,730.965951818994,0
AF,-6.854234,717.810348076157,12.9218341175532
AF,-6.04903,707.678779407477,7.09484721283059
AF,-5.243826,706.972263961101,23.4873038798287
AF,-4.438622,719.589635306105,28.7781921532022
AF,-3.633418,763.86152732564,84.4632549324351
AF,-2.828214,801.293870786368,101.099892754619
AF,-2.02301,809.456737255924,210.278408224347
AF,-1.217806,988.786619468496,329.830989812138
AF,-0.412602,891.203886803519,393.480121806835
other,-12.08806,448.292716600068,0
other,-11.685458,462.147549685124,15.0157935189771
other,-10.880254,440.631291828538,22.9517910801537
other,-10.07505,434.749537012754,29.3694306610755
other,-9.269846,446.849622112787,43.8193221206043
other,-8.464642,466.738711092432,70.0047723471079
other,-7.659438,457.907672023112,65.0873167844496
other,-6.854234,455.097470014925,74.5536252716306
other,-6.04903,452.761863101008,94.021613854504
other,-5.243826,427.313642130107,117.90678222375
other,-4.438622,396.334838133837,159.067663982875
other,-3.633418,362.704993038701,233.044133813353
other,-2.828214,274.544557945656,198.388018347555
other,-2.02301,212.367758014077,254.7442328118
other,-1.217806,158.917618133449,299.921509483557
other,-0.412602,473.356924165049,727.265298054828
other,-0.00980999999999987,310.498046629866,0
