state,species,altitude
other,albicans,425
other,alborufescens,823
other,amnicola,178.5
other,argyrophylla,117
AF,budlejoides,665
other,burchellii,933
AF,capixaba,618
AF,castaneiflora,806.5
other,chrysophylla,144
AF,cinerascens,771
other,cipoensis,830.5
other,corallina,1158.5
other,cowanii,94
other,cubatanensis,749.5
other,cyathanthera,1064
other,dichrophylla,94.5
other,discolor,583
other,dispar,147.5
other,fallax,621
AF,fasciculata,522
other,ferruginata,853
other,flammea,840
AF,formosa,604
other,heliotropoides,443.5
other,hyemalis,886.5
other,hypoleuca,115
other,lepidota,161.5
other,longispicata,94
other,lourteigiana,196
AF,lymanii,891
other,macrothyrsa,751
other,macuxi,55.5
other,mayarae,122
other,multispicata,313
other,navioensis,76
other,pepericarpa,1022
AF,petroniana,1033.5
AF,polyandra,795
other,pterocaulon,237
other,punctata,187.5
AF,racemifera,808.5
other,rufescens,144
other,ruficalyx,147
other,sclerophylla,1086
other,secundiflora,41
other,serialis,98
AF,shepherdii,1347
other,stenostachya,573
other,tiliifolia,374
AF,valtheri,795
AF,willdenowii,809
