AF,other,AFother
0,0,1
0,1,0
0,0,1
0,1,0
0,1,0
0,0,1
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,0,1
0,0,1
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,0,1
0,1,0
0,1,0
0,1,0
1,0,0
0,0,1
0,0,1
1,0,0
0,1,0
0,0,1
1,0,0
1,0,0
1,0,0
1,0,0
0,0,1
0,0,1
1,0,0
1,0,0
0,0,1
1,0,0
0,0,1
1,0,0
1,0,0
1,0,0
0,0,1
1,0,0
0,0,1
0,1,0
0,0,1
0.00058396231819102,0.798309047952048,0.201106989729761
4.84801182268104e-14,0.987434453452887,0.012565546547064
0.000352667648649374,0.974687042522707,0.0249602898286438
1.47790429013253e-14,0.969937613379953,0.0300623866200319
0.0039837346604205,0.939151397009942,0.0568648683296377
0.014410517295513,0.686384574996722,0.299204907707765
3.35464003455974e-16,0.2603754194777,0.7396245805223
6.52394393490849e-15,0.860111292517962,0.139888707482031
2.69364470078447e-15,0.632399696673575,0.367600303326422
0.0014082232624654,0.768406236214383,0.230185540523152
1.88622064419539e-14,0.851920126008624,0.148079873991357
3.29416878881359e-26,0.999999999999777,2.22961319344665e-13
4.02938715975995e-27,0.99999999999986,1.39621580992025e-13
3.06629287928228e-29,0.999999999999923,7.68746840459084e-14
0.0124994449380004,0.717787997934452,0.269712557127547
0.000639035832140401,0.877255306132841,0.122105658035019
5.11897107798436e-15,0.995543103467994,0.00445689653200124
3.79983823842183e-15,0.986513573339708,0.0134864266602886
1.58691021944362e-27,0.999999999999701,2.98776394859027e-13
1.69721704156465e-27,0.999999999999827,1.73021592558413e-13
3.12661187936912e-28,0.999999999999938,6.20941227103728e-14
3.16129519269331e-28,0.999999999999953,4.70380988229146e-14
4.22503267142637e-30,0.999999999999964,3.63111676397659e-14
1.19881204168002e-26,0.99999999999975,2.50129632835788e-13
1.96493043157262e-15,0.798979123223242,0.201020876776756
9.96088507163673e-16,0.493632094479612,0.506367905520387
5.09269022866292e-26,0.999999999999116,8.83924974367387e-13
1.87323835712497e-13,0.121287299653742,0.878712700346071
0.635099518388687,1.0521370101938e-12,0.364900481610261
0.52837049435157,0.0383981072775637,0.433231398370866
0.562795780513252,9.04363004651081e-15,0.437204219486739
0.0797827370107863,0.24771988823606,0.672497374753154
0.653022154925855,0.00521964851515708,0.341758196558987
0.924962464566431,0.000204984844851204,0.0748325505887176
0.969056126117666,1.37060955575564e-15,0.030943873882333
0.927383433254683,0.00109617912608444,0.0715203876192326
0.540091762590886,3.57707346878225e-16,0.459908237409114
0.910812335453365,1.78404383771799e-15,0.089187664546633
0.999999999999963,7.39403351724712e-28,3.70505598405544e-14
0.999999999999972,6.83023173324105e-29,2.76090475586547e-14
0.369530125509315,0.00691768147196212,0.623552193018723
0.999999999999866,1.08818345606353e-26,1.33729873298016e-13
0.927471096903649,3.43731097641333e-14,0.0725289030963166
0.748906605632677,0.013851882210155,0.237241512157168
0.337875309582645,2.56423633319888e-16,0.662124690417355
0.999999999999773,6.80486540077227e-27,2.26922891273243e-13
0.673841617690419,0.00312632102087429,0.323032061288706
0.959518577166954,1.48317115261083e-13,0.0404814228328975
0.800782090251379,1.08594398111853e-14,0.19921790974861
9.29966577276314e-13,0.594338381042977,0.405661618956093
